problem,duplication,ordering,genome_size,mutation_rate,seed,evaluations
decode,accumulate,dag,5000,0.002,901,126599
decode,accumulate,dag,5000,0.002,902,220621
decode,accumulate,dag,5000,0.002,903,149881
decode,accumulate,dag,5000,0.002,904,145143
decode,accumulate,dag,5000,0.002,905,70382
decode,accumulate,dag,5000,0.002,906,192194
decode,accumulate,dag,5000,0.002,907,84508
decode,accumulate,dag,5000,0.002,908,155216
decode,accumulate,dag,5000,0.002,909,58871
decode,accumulate,dag,5000,0.002,910,112428
decode,accumulate,dag,5000,0.002,911,84373
decode,accumulate,dag,5000,0.002,912,144587
decode,accumulate,dag,5000,0.002,913,192456
decode,accumulate,dag,5000,0.002,914,103847
decode,accumulate,dag,5000,0.002,915,261439
decode,accumulate,dag,5000,0.002,916,144981
decode,accumulate,dag,5000,0.002,917,133593
decode,accumulate,dag,5000,0.002,918,196458
decode,accumulate,dag,5000,0.002,919,102687
decode,accumulate,dag,5000,0.002,920,162500
decode,accumulate,dag,5000,0.002,921,177674
decode,accumulate,dag,5000,0.002,922,149576
decode,accumulate,dag,5000,0.002,923,218704
decode,accumulate,dag,5000,0.002,924,144076
decode,accumulate,dag,5000,0.002,925,92122
decode,accumulate,dag,5000,0.002,926,101334
decode,accumulate,dag,5000,0.002,927,109228
decode,accumulate,dag,5000,0.002,928,168360
decode,accumulate,dag,5000,0.002,929,152500
decode,accumulate,dag,5000,0.002,930,101361
decode,accumulate,dag,5000,0.002,931,220519
decode,accumulate,dag,5000,0.002,932,116706
decode,accumulate,dag,5000,0.002,933,130299
decode,accumulate,dag,5000,0.002,934,127200
decode,accumulate,dag,5000,0.002,935,136700
decode,accumulate,dag,5000,0.002,936,105961
decode,accumulate,dag,5000,0.002,937,82657
decode,accumulate,dag,5000,0.002,938,132783
decode,accumulate,dag,5000,0.002,939,70475
decode,accumulate,dag,5000,0.002,940,91325
decode,accumulate,dag,5000,0.002,941,146778
decode,accumulate,dag,5000,0.002,942,123301
decode,accumulate,dag,5000,0.002,943,135012
decode,accumulate,dag,5000,0.002,944,146734
decode,accumulate,dag,5000,0.002,945,92367
decode,accumulate,dag,5000,0.002,946,124030
decode,accumulate,dag,5000,0.002,947,87537
decode,accumulate,dag,5000,0.002,948,167848
decode,accumulate,dag,5000,0.002,949,136106
decode,accumulate,dag,5000,0.002,950,87944
decode,accumulate,normal,1000,0.002,901,148382
decode,accumulate,normal,1000,0.002,902,76976
decode,accumulate,normal,1000,0.002,903,92715
decode,accumulate,normal,1000,0.002,904,63705
decode,accumulate,normal,1000,0.002,905,80014
decode,accumulate,normal,1000,0.002,906,37641
decode,accumulate,normal,1000,0.002,907,107663
decode,accumulate,normal,1000,0.002,908,89628
decode,accumulate,normal,1000,0.002,909,59354
decode,accumulate,normal,1000,0.002,910,40047
decode,accumulate,normal,1000,0.002,911,55949
decode,accumulate,normal,1000,0.002,912,139058
decode,accumulate,normal,1000,0.002,913,27021
decode,accumulate,normal,1000,0.002,914,61760
decode,accumulate,normal,1000,0.002,915,50879
decode,accumulate,normal,1000,0.002,916,54849
decode,accumulate,normal,1000,0.002,917,96888
decode,accumulate,normal,1000,0.002,918,109831
decode,accumulate,normal,1000,0.002,919,62733
decode,accumulate,normal,1000,0.002,920,62817
decode,accumulate,normal,1000,0.002,921,58289
decode,accumulate,normal,1000,0.002,922,27116
decode,accumulate,normal,1000,0.002,923,105894
decode,accumulate,normal,1000,0.002,924,77468
decode,accumulate,normal,1000,0.002,925,75592
decode,accumulate,normal,1000,0.002,926,56760
decode,accumulate,normal,1000,0.002,927,62868
decode,accumulate,normal,1000,0.002,928,122618
decode,accumulate,normal,1000,0.002,929,73109
decode,accumulate,normal,1000,0.002,930,77146
decode,accumulate,normal,1000,0.002,931,108865
decode,accumulate,normal,1000,0.002,932,72263
decode,accumulate,normal,1000,0.002,933,50017
decode,accumulate,normal,1000,0.002,934,86212
decode,accumulate,normal,1000,0.002,935,67975
decode,accumulate,normal,1000,0.002,936,50519
decode,accumulate,normal,1000,0.002,937,68660
decode,accumulate,normal,1000,0.002,938,58494
decode,accumulate,normal,1000,0.002,939,63239
decode,accumulate,normal,1000,0.002,940,72215
decode,accumulate,normal,1000,0.002,941,40844
decode,accumulate,normal,1000,0.002,942,47251
decode,accumulate,normal,1000,0.002,943,72229
decode,accumulate,normal,1000,0.002,944,69090
decode,accumulate,normal,1000,0.002,945,57494
decode,accumulate,normal,1000,0.002,946,80111
decode,accumulate,normal,1000,0.002,947,66806
decode,accumulate,normal,1000,0.002,948,191209
decode,accumulate,normal,1000,0.002,949,64203
decode,accumulate,normal,1000,0.002,950,43037
decode,accumulate,reorder,2000,0.002,901,69626
decode,accumulate,reorder,2000,0.002,902,112509
decode,accumulate,reorder,2000,0.002,903,131066
decode,accumulate,reorder,2000,0.002,904,133900
decode,accumulate,reorder,2000,0.002,905,68342
decode,accumulate,reorder,2000,0.002,906,82459
decode,accumulate,reorder,2000,0.002,907,67397
decode,accumulate,reorder,2000,0.002,908,67189
decode,accumulate,reorder,2000,0.002,909,122426
decode,accumulate,reorder,2000,0.002,910,112129
decode,accumulate,reorder,2000,0.002,911,67826
decode,accumulate,reorder,2000,0.002,912,47140
decode,accumulate,reorder,2000,0.002,913,55140
decode,accumulate,reorder,2000,0.002,914,77605
decode,accumulate,reorder,2000,0.002,915,73420
decode,accumulate,reorder,2000,0.002,916,52959
decode,accumulate,reorder,2000,0.002,917,73155
decode,accumulate,reorder,2000,0.002,918,94568
decode,accumulate,reorder,2000,0.002,919,73990
decode,accumulate,reorder,2000,0.002,920,89901
decode,accumulate,reorder,2000,0.002,921,36548
decode,accumulate,reorder,2000,0.002,922,89022
decode,accumulate,reorder,2000,0.002,923,56925
decode,accumulate,reorder,2000,0.002,924,49906
decode,accumulate,reorder,2000,0.002,925,72497
decode,accumulate,reorder,2000,0.002,926,72827
decode,accumulate,reorder,2000,0.002,927,159871
decode,accumulate,reorder,2000,0.002,928,89160
decode,accumulate,reorder,2000,0.002,929,28296
decode,accumulate,reorder,2000,0.002,930,176187
decode,accumulate,reorder,2000,0.002,931,72792
decode,accumulate,reorder,2000,0.002,932,74789
decode,accumulate,reorder,2000,0.002,933,145142
decode,accumulate,reorder,2000,0.002,934,53795
decode,accumulate,reorder,2000,0.002,935,45883
decode,accumulate,reorder,2000,0.002,936,40052
decode,accumulate,reorder,2000,0.002,937,135377
decode,accumulate,reorder,2000,0.002,938,53316
decode,accumulate,reorder,2000,0.002,939,54887
decode,accumulate,reorder,2000,0.002,940,122546
decode,accumulate,reorder,2000,0.002,941,83353
decode,accumulate,reorder,2000,0.002,942,75666
decode,accumulate,reorder,2000,0.002,943,71998
decode,accumulate,reorder,2000,0.002,944,67550
decode,accumulate,reorder,2000,0.002,945,68065
decode,accumulate,reorder,2000,0.002,946,144263
decode,accumulate,reorder,2000,0.002,947,44895
decode,accumulate,reorder,2000,0.002,948,135947
decode,accumulate,reorder,2000,0.002,949,108289
decode,accumulate,reorder,2000,0.002,950,27106
decode,single,dag,500,1,901,284387
decode,single,dag,500,1,902,216222
decode,single,dag,500,1,903,139664
decode,single,dag,500,1,904,161895
decode,single,dag,500,1,905,189586
decode,single,dag,500,1,906,132286
decode,single,dag,500,1,907,199906
decode,single,dag,500,1,908,128007
decode,single,dag,500,1,909,154760
decode,single,dag,500,1,910,260251
decode,single,dag,500,1,911,274647
decode,single,dag,500,1,912,98930
decode,single,dag,500,1,913,114249
decode,single,dag,500,1,914,80046
decode,single,dag,500,1,915,161655
decode,single,dag,500,1,916,140833
decode,single,dag,500,1,917,95184
decode,single,dag,500,1,918,210200
decode,single,dag,500,1,919,257770
decode,single,dag,500,1,920,108084
decode,single,dag,500,1,921,255228
decode,single,dag,500,1,922,219747
decode,single,dag,500,1,923,179798
decode,single,dag,500,1,924,158115
decode,single,dag,500,1,925,297024
decode,single,dag,500,1,926,159738
decode,single,dag,500,1,927,141354
decode,single,dag,500,1,928,156761
decode,single,dag,500,1,929,93850
decode,single,dag,500,1,930,139277
decode,single,dag,500,1,931,219202
decode,single,dag,500,1,932,77999
decode,single,dag,500,1,933,163743
decode,single,dag,500,1,934,271418
decode,single,dag,500,1,935,175389
decode,single,dag,500,1,936,108095
